N,Overlap,Deg_Rate,Noise_Std,Memory_Class,r_star,fidelity_at_r,fidelity_prev,slope,collapsed,braak_at_collapse,plateau_height,post_floor,transition_width,auc
500,high,fast,0.1,strong_recent,1.0,1.932617295662338e-16,0.9999938378334046,-9.999938378334043,True,Stage_3,1.000000166098277,0.4999969189167024,0.08000049297636536,0.9499994774103165
500,high,fast,0.1,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,high,fast,0.1,weak_dense,0.9,0.02623410259746015,0.9999687832196553,-9.73734680622195,True,Stage_3,0.9999998089075088,0.01311705129873008,0.08215790357685704,0.8526201719632374
500,high,fast,0.1,weak_remote,0.7,0.3736203285640416,0.9999998189608256,-6.263794903967839,True,Stage_3,0.9999757704734803,-0.0028999413611988227,0.16781940794972894,0.691478440911804
500,high,fast,0.2,strong_recent,1.0,1.932617295662338e-16,0.999993837594986,-9.999938375949856,True,Stage_3,1.000000166098277,0.4999969187974931,0.0800004929954391,0.9499994773864747
500,high,fast,0.2,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,high,fast,0.2,weak_dense,0.9,0.02623410259746015,0.9999687832196553,-9.73734680622195,True,Stage_3,0.9999998089075088,0.01311705129873008,0.08215790357685704,0.8526201719632374
500,high,fast,0.2,weak_remote,0.7,0.3736203285640416,0.9999998189608256,-6.263794903967839,True,Stage_3,0.9999757704734803,-0.0028999417560795944,0.16781940794972894,0.6914784408328278
500,high,fast,0.3,strong_recent,1.0,1.932617295662338e-16,0.9999938371181488,-9.999938371181486,True,Stage_3,1.000000166098277,0.4999969185590745,0.08000049303358658,0.949999477338791
500,high,fast,0.3,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,high,fast,0.3,weak_dense,0.9,0.02623410259746015,0.9999687832196553,-9.73734680622195,True,Stage_3,0.9999998089075088,0.01311705129873008,0.08215790357685704,0.8526201719632374
500,high,fast,0.3,weak_remote,0.7,0.3736203285640416,0.9986932338724533,-6.250729053084117,True,Stage_3,0.9991121555633016,-0.0028999418721844753,0.16799506622035176,0.6908296133546625
500,high,fast,0.4,strong_recent,1.0,1.932617295662338e-16,0.9999938346147538,-9.999938346147536,True,Stage_3,1.000000166098277,0.499996917307377,0.0800004932338606,0.9499994770884514
500,high,fast,0.4,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,high,fast,0.4,weak_dense,0.9,0.02623410261484484,0.9999687832196553,-9.737346806048105,True,Stage_3,0.9999998089075088,0.013117051307422425,0.08215790357832387,0.8526201719649757
500,high,fast,0.4,weak_remote,0.7,0.3736203285640416,0.9881381243672998,-6.145177958032582,True,Stage_3,0.9964775175655053,-0.0028999418759097654,0.1694414938651474,0.6881933196047242
500,high,fast,0.5,strong_recent,1.0,1.932617295662338e-16,0.9999938319921493,-9.99993831992149,True,Stage_3,1.000000166098277,0.49999691599607476,0.08000049344367155,0.949999476826191
500,high,fast,0.5,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,high,fast,0.5,weak_dense,0.9,0.026234102801109355,0.9999687832196553,-9.737346804185458,True,Stage_3,0.9999998089075088,0.013117051400554683,0.08215790359403974,0.8526201719836023
500,high,fast,0.5,weak_remote,0.7,0.3736203285640416,0.9604899676349791,-5.868696390709374,True,Stage_3,0.9886171811958259,-0.0028999419659376142,0.1734769179791641,0.6807123020916789
500,high,medium,0.1,strong_recent,0.95,0.2007999103218317,0.9999938378334046,-15.983878550231458,True,Stage_3,1.0000000811464647,0.40026458271841214,0.06884367220389642,0.9350397591121494
500,high,medium,0.1,strong_salient,0.95,0.2236187841296196,1.0000003592967988,-15.527631503343583,True,Stage_3,1.0000001684216893,0.4078730478088062,0.07120036343598402,0.9361811865895987
500,high,medium,0.1,weak_dense,0.85,0.0480088717614611,0.9999687832196553,-19.039198229163883,True,Stage_3,0.9999999049080742,0.02119734685392016,0.04201857611706428,0.8305784563655966
500,high,medium,0.1,weak_remote,0.7,0.3736203285640416,0.9999999407132467,-12.527592242984102,True,Stage_3,0.9999766415622499,-0.001837743014925056,0.08485805444499761,0.6991919957485049
500,high,medium,0.2,strong_recent,0.95,0.20079989977180956,0.999993837594986,-15.983878756463527,True,Stage_3,1.0000000811464647,0.40026457912226526,0.06884367099126265,0.9350397585727274
500,high,medium,0.2,strong_salient,0.95,0.22361878323554993,1.0000003592967988,-15.527631521224976,True,Stage_3,1.0000001684216893,0.40787304751078296,0.07120036335400304,0.9361811865448951
500,high,medium,0.2,weak_dense,0.85,0.0480088717614611,0.9999687832196553,-19.039198229163883,True,Stage_3,0.9999999049080742,0.02119734686519951,0.04201857611706428,0.8305784563672883
500,high,medium,0.2,weak_remote,0.7,0.3736203285640416,0.9999999407132467,-12.527592242984102,True,Stage_3,0.9999766415887409,-0.0018377432082262305,0.08485805444499761,0.6991919957354044
500,high,medium,0.3,strong_recent,0.95,0.20079987613856792,0.9999938371181488,-15.983879219591616,True,Stage_3,1.0000000811464647,0.40026457108557234,0.0688436682716922,0.9350397573910653
500,high,medium,0.3,strong_salient,0.95,0.2236187816262245,1.0000003592967988,-15.527631553411485,True,Stage_3,1.0000001684216893,0.4078730469743412,0.07120036320643719,0.9361811864644289
500,high,medium,0.3,weak_dense,0.85,0.0480088717614611,0.9999687832196553,-19.039198229163883,True,Stage_3,0.9999999049080742,0.021197346920871902,0.04201857611706428,0.8305784563756392
